,A,B,Ratio
1534,Bachelor of International Tourism Management,Management,100
1535,Bachelor of International Tourism Management  BITM - Food and Beverage,Management,100
1536,Bachelor of International Tourism Management  BITM - Marketing,Management,100
1537,Bachelor of International Tourism Management  BITM - Marketing,Marketing,100
1538,Bachelor of Languages,Languages,100
1539,Bachelor of Languages-Japanese,Japanese,100
1540,Bachelor of Languages-Japanese,Languages,100
1541,Bachelor of Laws (Law),Law,100
1542,Bachelor of Liberal Arts and Science,Science,100
1543,Bachelor of Management Studies (Honours) (Tourism and Hospitality Management),Management,100
1544,Bachelor of Media and Communication,Media,100
1545,Bachelor of Media Arts,Media,100
1546,Bachelor of Medical Laboratory Science,Science,100
1547,Bachelor of Medical Science,Science,100
1548,Bachelor of Music,Music,100
1549,Bachelor of Music - Applied Music (Performance): Strings,Music,100
1550,Bachelor of Music - Clarinet Performance,Music,100
1551,Bachelor of Music - Digital Music and Media,Digital,100
1552,Bachelor of Music - Digital Music and Media,Media,100
1553,Bachelor of Music - Digital Music and Media,Music,100
1554,Bachelor of Music (Academic),Music,100
1555,Bachelor of Music (Composition),Music,100
1556,"Bachelor of Music (Digital Music and Media),",Digital,100
1557,"Bachelor of Music (Digital Music and Media),",Media,100
1558,"Bachelor of Music (Digital Music and Media),",Music,100
1559,Bachelor of Music (Performance - Voice Classical),Music,100
1560,Bachelor of Music (Performance),Music,100
1561,Bachelor of Music (Performance) - Orchestral Instrument Performance,Music,100
1562,Bachelor of Music (Performance) - Piano - Classical,Music,100
1563,Bachelor of Music (Performance) - Piano (Classical),Music,100
1564,Bachelor of Music (Performance) - Voice (Classical),Music,100
1565,Bachelor of Music (Performance) - Voice (Jazz),Music,100
1566,Bachelor of Music (Performance) - voice classical,Music,100
1567,Bachelor of Music (Performance) (Contemporary Music Practice),Music,100
1568,Bachelor of Music (Performance) (Drum (Jazz)).,Music,100
1569,Bachelor of Music (Performance) (Piano (Classical)),Music,100
1570,Bachelor of Music (Performance) (Piano Classical),Music,100
1571,Bachelor of Music (Performance) (Piano Jazz),Music,100
1572,Bachelor of Music (Performance) (Violin Classical),Music,100
1573,Bachelor of Music (Performance) (Voice (Classical)),Music,100
1574,Bachelor of Music (Performance) Piano Classical,Music,100
1575,Bachelor of Music (Performance).,Music,100
1576,Bachelor of Music (Piano (Classical)),Music,100
1577,Bachelor of Nursing,Nursing,100
1578,Bachelor of Nursing  (Pre-Registration),Nursing,100
1579,Bachelor of Nursing (Advanced Studies),Nursing,100
1580,Bachelor of Nursing (Graduate Entry),Nursing,100
1581,Bachelor of Nursing (Pre- Registration),Nursing,100
1582,Bachelor of Nursing (Preregistration),Nursing,100
1583,Bachelor of Nursing (Pre-registration),Nursing,100
1584,Bachelor of Nursing Pre-Registration,Nursing,100
1585,Bachelor of Nutrition and Dietetics,Nutrition,100
1586,Bachelor of Paramedic Science,Science,100
1587,Bachelor of Pharmacy,Pharmacy,100
1588,Bachelor of Pharmacy and Management,Management,100
1589,Bachelor of Pharmacy and Management,Pharmacy,100
1590,Bachelor of Philosophy (Honours) - Science,Philosophy,100
1591,Bachelor of Philosophy (Honours) - Science,Science,100
1592,Bachelor of Physics,Physics,100
1593,Bachelor of Political Science,Science,100
1594,"Bachelor of Politics, Philosophy and Economics",Economics,100
1595,"Bachelor of Politics, Philosophy and Economics",Philosophy,100
1596,"Bachelor of Politics, Philosophy and Economics",Politics,100
1597,Bachelor of Project Management,Management,100
1598,Bachelor of Psychological Science,Science,100
1599,Bachelor of Psychology,Psychology,100
1600,Bachelor of Psychology (Honours),Psychology,100
1601,Bachelor of Science,Science,100
1602,Bachelor of Science -  Geology,Geology,100
1603,Bachelor of Science -  Geology,Science,100
1604,Bachelor of Science - Agricultural Science,Agricultural,100
1605,Bachelor of Science - Agricultural Science,Science,100
1606,Bachelor of Science - Anatomy and Human Biology,Anatomy,100
1607,Bachelor of Science - Anatomy and Human Biology,Biology,100
1608,Bachelor of Science - Anatomy and Human Biology,Science,100
1609,Bachelor of Science - Biochemistry and Molecular Biology,Biochemistry,100
1610,Bachelor of Science - Biochemistry and Molecular Biology,Biology,100
1611,Bachelor of Science - Biochemistry and Molecular Biology,Science,100
1612,Bachelor of Science - Biological Sciences,Science,100
1613,Bachelor of Science  BSc / Bachelor of Mathematical Sciences  BMathSc - Applied Mathematics,Mathematics,100
1614,Bachelor of Science  BSc / Bachelor of Mathematical Sciences  BMathSc - Applied Mathematics,Science,100
1615,Bachelor of Science - Chemistry,Chemistry,100
1616,Bachelor of Science - Chemistry,Science,100
1617,Bachelor of Science - Computer Science,Science,100
1618,Bachelor of Science - Data Science,Data,100
1619,Bachelor of Science - Data Science,Science,100
1620,Bachelor of Science - Engineering Science,Engineering ,100
1621,Bachelor of Science - Engineering Science,Science,100
1622,Bachelor of Science - Environmental Science,Science,100
1623,Bachelor of Science - Genetics,Genetics,100
1624,Bachelor of Science - Genetics,Science,100
1625,Bachelor of Science - Marine Science,Science,100
1626,Bachelor of Science - Mathematics and Statistics,Mathematics,100
1627,Bachelor of Science - Mathematics and Statistics,Science,100
1628,Bachelor of Science - Mathematics and Statistics,Statistics,100
1629,Bachelor of Science - Natural Resource Management,Management,100
1630,Bachelor of Science - Natural Resource Management,Science,100
1631,Bachelor of Science - Neuroscience,Neuroscience,100
1632,Bachelor of Science - Neuroscience,Science,100
1633,Bachelor of Science - Physics,Physics,100
1634,Bachelor of Science - Physics,Science,100
1635,Bachelor of Science - Physiology,Science,100
1636,Bachelor of Science - Population Health,Science,100
1637,Bachelor of Science - Psychological Science,Science,100
1638,Bachelor of Science - Psychology,Psychology,100
1639,Bachelor of Science - Psychology,Science,100
1640,Bachelor of Science - Psychology (double major),Psychology,100
1641,Bachelor of Science - Psychology (double major),Science,100
1642,Bachelor of Science - Sport Science,Science,100
1643,Bachelor of Science - Zoology,Science,100
1644,Bachelor of Science ( Psychology),Psychology,100
1645,Bachelor of Science ( Psychology),Science,100
1646,Bachelor of Science (Agricultural Science),Agricultural,100
1647,Bachelor of Science (Agricultural Science),Science,100
1648,Bachelor of Science (Agricultural Science) ,Agricultural,100
1649,Bachelor of Science (Agricultural Science) ,Science,100
