,A,B,Ratio
5110,MSc  International Business with Marketing,Business,100
5111,MSc  International Business with Marketing,Marketing,100
5112,MSc  International Business with Tourism and Hospitality,Business,100
5113,MSc  International Corporate Finance,Finance,100
5114,MSc  International Events Management,Management,100
5115,MSc  International Finance and Economics,Economics,100
5116,MSc  International Finance and Economics,Finance,100
5117,MSc  International Marketing,Marketing,100
5118,MSc  Investment Management,Management,100
5119,MSc  Logistics & Supply Chain Management,Management,100
5120,MSc  Management,Management,100
5121,MSc  Management and Digital Business (with Advanced Practice),Business,100
5122,MSc  Management and Digital Business (with Advanced Practice),Digital,100
5123,MSc  Management and Digital Business (with Advanced Practice),Management,100
5124,MSc  Marketing,Marketing,100
5125,MSc  Marketing Analytics,Analytics,100
5126,MSc  Marketing Analytics,Marketing,100
5127,MSc  Marketing and Consumer Psychology,Marketing,100
5128,MSc  Marketing and Consumer Psychology,Psychology,100
5129,MSc  Marketing Management Practice,Management,100
5130,MSc  Marketing Management Practice,Marketing,100
5131,"MSc  Money, Banking and Finance",Banking,100
5132,"MSc  Money, Banking and Finance",Finance,100
5133,MSc  Sustainable Supply Chain Management,Management,100
5134,MSc (Eng)  Biological and Bioprocess Engineering,Engineering ,100
5135,MSc (Eng)  Biological and Bioprocess Engineering,Bioprocess,100
5136,MSc (Eng) Advanced Software Engineering,Engineering ,100
5137,MSc (Eng) Advanced Software Engineering,Software,100
5138,MSc (Eng) Aerospace Materials,Aerospace,100
5139,MSc (Eng) Aerospace Materials,Materials,100
5140,MSc (Eng) Biological and Bioprocess Engineering,Engineering ,100
5141,MSc (Eng) Biological and Bioprocess Engineering,Bioprocess,100
5142,MSc (Eng) Data Communications,Communications,100
5143,MSc (Eng) Data Communications,Data,100
5144,MSc (Eng) Electronic and Electrical Engineering,Electrical,100
5145,MSc (Eng) Electronic and Electrical Engineering,Engineering ,100
5146,MSc (Eng) Environmental and Energy Engineering,Engineering ,100
5147,MSc (Eng) Polymers & Polymer Composite Science & Engineering,Engineering ,100
5148,MSc (Eng) Polymers & Polymer Composite Science & Engineering,Science,100
5149,MSc (Eng) Polymers and Polymer Composite Science and Engineering,Engineering ,100
5150,MSc (Eng) Polymers and Polymer Composite Science and Engineering,Science,100
5151,MSc (Eng) Semiconductor Photonics and Electronics,Photonics,100
5152,MSc (Eng) Semiconductor Photonics and Electronics,Semiconductor,100
5153,MSc (Eng) Wireless Communications Systems,Communications,100
5154,MSc (Eng) Wireless Communications Systems,Systems,100
5155,Msc (Res) Chemistry,Chemistry,100
5156,MSc (Res) Cognitive Neuroscience and Human Neuroimaging,Neuroscience,100
5157,MSc (Res) Cognitive Neuroscience and Human Neuroimaging,Neuroimaging,100
5158,MSc 5G Advanced Communications,Communications,100
5159,MSc 5G Mobile Communications and Intelligent Embedded Systems,Communications,100
5160,MSc 5G Mobile Communications and Intelligent Embedded Systems,Systems,100
5161,MSc 5G Mobile Communications and Intelligent Embedded Systems,Intelligent,100
5162,MSc 5G Mobile Communications and Intelligent Embedded Systems (with an industrial placement),Communications,100
5163,MSc 5G Mobile Communications and Intelligent Embedded Systems (with an industrial placement),Systems,100
5164,MSc 5G Mobile Communications and Intelligent Embedded Systems (with an industrial placement),Intelligent,100
5165,MSc 5G Mobile Communications and Intelligent Embedded Systems (with an industrial placement),Industrial,100
5166,MSc Accountancy and Finance,Finance,100
5167,MSc Accounting,Accounting,100
5168,MSc Accounting & Finance,Accounting,100
5169,MSc Accounting & Finance,Finance,100
5170,MSc Accounting (alternative degree MSc Finance (Accounting & Finance),Accounting,100
5171,MSc Accounting (alternative degree MSc Finance (Accounting & Finance),Finance,100
5172,MSc Accounting and Finance,Accounting,100
5173,MSc Accounting and Finance,Finance,100
5174,MSc Accounting and Financial Management,Accounting,100
5175,MSc Accounting and Financial Management,Management,100
5176,MSc Accounting L1T509,Accounting,100
5177,MSc Actuarial Science,Science,100
5178,MSc Advanced Biochemistry,Biochemistry,100
5179,MSc Advanced Computer Science,Science,100
5180,MSc Advanced Computer Science with Big Data,Data,100
5181,MSc Advanced Computer Science with Big Data,Science,100
5182,MSc Advanced Construction Technology & Building Information Management,Information,100
5183,MSc Advanced Construction Technology & Building Information Management,Management,100
5184,MSc Advanced Construction Technology & Building Information Management,Technology,100
5185,MSc Advanced Control and Systems Engineering,Engineering ,100
5186,MSc Advanced Control and Systems Engineering,Systems,100
5187,MSc Advanced Control Systems Engineering,Engineering ,100
5188,MSc Advanced Control Systems Engineering,Systems,100
5189,"MSc Advanced Electrical Machines, Power Electronics and Drives",Electrical,100
5190,"MSc Advanced Electrical Machines, Power Electronics and Drives ",Electrical,100
5191,MSc Advanced Electrical Power and Energy Systems,Electrical,100
5192,MSc Advanced Electrical Power and Energy Systems,Systems,100
5193,MSc Advanced Electrical Power and Energy Systems (two year programme),Electrical,100
5194,MSc Advanced Electrical Power and Energy Systems (two year programme),Systems,100
5195,MSc Advanced Mechanical Engineering,Engineering ,100
5196,MSc Advanced Mechanical Engineering,Mechanical,100
5197,MSc Advanced Mechanical Engineering & Industrial Placement,Engineering ,100
5198,MSc Advanced Mechanical Engineering & Industrial Placement,Mechanical,100
